S. No.,States/UTs *,Domestic -2019,Foreign - 2019,Domestic -2020,Foreign - 2020,Growth rate - DTV  2020/19,Growth rate - FTV 2020/19
1,A&N Island ,505398,16206,191207,5412,-62.17,-66.6
2,Andhra Pradesh  ,237051508,280356,70828590,67591,-70.12,-75.89
3,Arunachal Pradesh ,555639,7825,42871,961,-92.28,-87.72
4,Assam ,5447805,26878,1266898,7285,-76.74,-72.9
5,Bihar  ,33990038,1093141,5638024,308080,-83.41,-71.82
6,Chandigarh  ,1563795,44132,417953,12218,-73.27,-72.31
7,Chhattisgarh ,17304506,6817,2810227,2322,-83.76,-65.94
8,Dadra & Nagar Haveli ,618330,1666,104959,222,-83.03,-86.67
9,Daman & Diu,897804,5703,297436,1382,-66.87,-75.77
10,Delhi #,36467598,2983436,9583671,681230,-73.7,-77.2
11,Goa ,7127287,937113,3258715,302751,-54.28,-67.69
12,Gujarat ,58864661,595607,19464517,210047,-66.93,-64.73
13,Haryana ,4549017,48046,2114731,17474,-53.51,-63.63
14,Himachal Pradesh  ,16829231,382876,3170714,42665,-81.16,-88.86
15,Jharkhand,35580768,176043,2574704,490,-92.76,-99.72
16,J&K ,16163330,57920,2519524,5317,-84.41,-90.82
17,Karnataka ,227934714,608754,77453339,165325,-66.02,-72.84
18,Kerala ,18384233,1189771,4988972,340755,-72.86,-71.36
19,Lakshdweep ,6985,820,3462,413,-50.44,-49.63
20,Ladakh,241285,38652,6743,1126,-97.21,-97.09
21,Madhya Pradesh,88707139,327958,23519632,99819,-73.49,-69.56
22,Maharashtra #,149294703,5528704,39234591,1262409,-73.72,-77.2
23,Manipur  ,167560,13608,49669,3139,-70.36,-76.93
24,Meghalaya ,1245633,25813,24734,2311,-98.01,-91.05
25,Mizoram ,163762,2249,30890,265,-81.14,-88.22
26,Nagaland ,125949,5577,10979,518,-91.28,-90.71
27,Odisha ,15307637,115128,4622273,10206,-69.8,-91.14
28,Puducherry,1713248,149919,1114942,92080,-34.92,-38.58
29,Punjab ,47385387,1101343,16692197,359114,-64.77,-67.39
30,Rajasthan  ,52220431,1605560,15117239,446457,-71.05,-72.19
31,Sikkim ,1421823,133388,316408,19935,-77.75,-85.05
32,Tamil Nadu ,494865257,6866327,140651241,1228323,-71.58,-82.11
33,Telengana,83035894,323326,39997001,46694,-51.83,-85.56
34,Tripura ,437201,154405,127815,31877,-70.77,-79.35
35,Uttar Pradesh,535855162,4745181,86122293,890932,-83.93,-81.22
36,Uttarakhand ,37585920,152273,7005264,41339,-81.36,-72.85
37,West Bengal ,92366025,1656145,28841732,463285,-68.77,-72.03
Grand Total,Grand Total,2321982663,31408666,610216157,7171769,-73.70%,-77.20%
,,,,,,,
,,,,,,,
